序号,问题,是否区分产品/产品名称,人员,相关问题（多个词条用中文分号；连接）,类型,标签/关键词/同义词（多个词条用中文分号；连接）,答案,相关链接,可见性/访问权限
1,华大基因CNV-seq(康孕®-染色体检测)是什么产品？,CNVseq,,华大基因康孕检查是什么？,产品介绍,CNVseq；康孕,"CNV-seq 即“低深度全基因组拷贝数变异测序技术”，是指通过对妊娠期流产/引产组织、绒毛、脐带血、外周血等样本等进行全基因组测序，从而判断样本染色体是否存在染色体变异的一种技术。华大基于CNV-seq检测除过通过高通量测序技术，还可以结合短串联重复序列分析(Short TandemRepeat,STR)和甲基化特异性PCR(Methylation-Specific PCR, MS-PCR)，可检测23对染色体非整倍体变异，三倍体变异，100Kb以上的缺失或重复、5种单亲二体以及提示宫内病原感染，用于排查自然流产、先天畸形、 智力障碍、发育迟缓等疾病的遗传病因。",,公开
2,CNVseq产品适用于哪些人群？,CNVseq,,,产品适用性,适用人群；慎用人群；不适用人群,CNVseq产品适用于自然流产、先天畸形、智力障碍、发育迟缓全面排查遗传病因。,,公开
3,CNVseq样本运输注意事项是什么？,CNVseq,,,产品介绍,样本运输,"请注意避免反复冻融。
样本密封保存，干冰寄送，注意防震。寄送前禁止将样本在
室温状态下放置，需及时存放于冰箱；
保存时间＜8小时者，存放温度不高于4℃；
保存时间为8~72小时者，存放温度不高于-20℃；
保存时间＞72小时长期保存者，存放温度不高于-80℃。",,公开
4,CNVseq产品检测意义是什么？,CNVseq,,,产品适用性,检测意义；检测用处,CNVseq检测可以对自然流产、先天畸形、智力障碍、发育迟缓的个体进行全面排查确定遗传病因。,,公开
5,产品检测范围和报告内容？,CNVseq,,CNVseq检测哪些变异类型？,产品适用性,检测范围；报告内容,CNVseq目前华大一共包含三类产品：康孕®-染色体1M、康孕®-染色体100K和康孕®-染色体100K plus检测产品。其中，1M产品检测范围包括三倍体、非整倍体、1Mb以上缺失/重复；100K产品检测范围包括非整倍体、100Kb以上缺失/重复、病原感染风险提示；100K Plus产品检测范围包括包括母源污染、三倍体、非整倍体、100Kb以上缺失/重复、5种单亲二体、病原感染风险提示。,,公开
6,CNVseq产品的技术特点或优势是什么？,CNVseq,,,产品介绍,技术特点；技术优势,"1、仅需提供少量样本，无需细胞培养，检测周期短
2、精细：分辨率精确至100Kb
3、高效：可检出23对染色体非整倍体， 三倍体，100Kb以上的确实或重复、5种单亲二体及提示宫内病原感染
4、科学：专业丰富的数据库强力支撑",,公开
7,产品检测范围局限性？,CNVseq,,,产品性能,检测局限性,CNVseq检测尚无法检测染色体高度重复、高度固缩区域（如近着丝粒、端粒区）的异常，以及多倍体变异、100Kb 以下缺失/重复、易位、倒位、点突变、Indel、动态突变、低比例嵌合和单亲二倍体（UPD）等。检测结果未标示的区域，不排除有低于 100Kb 的染色体变异的可能。,,公开
8,华大有发表哪些技术发明专利、标准、文章可以支持？,CNVseq,,,专利、文章、标准,发版专利；标准；文章,"华大基因早在2006年引入高通量测序平台开始项目研发，2013年康孕®-染色体检测正式应用于临床样本，至今已积累丰富的科研及检测经验，助力前沿科技在临床中的实践应用。
部分发表文章列举如下：
DongZ,ZhangJ,Hu P,et al. Low-pass whole-genome sequencing in clin-ical cytogenetics: a validated approach[J]. Genetics in Medicine, 201618(9):940-948
Yao H, Yang C, Huang X, et al. Breakpoints and deleted genes identificationofring chromosome 18 in a Chinese girl by whole-genome low-coveragesequencing: a case report study[J]. BMC medical genetics, 2016, 17(1): 49.Dong Z, Jiang L, Yang C, et al. A Robust Approach for Blind Detection of Bal-anced Chromosomal Rearrangements with Whole - Genome Low - CoverageSequencing[J].Human mutation,2014,35(5):625-636.·Xie W, Tan Y, LiX, et al. Rapid detection ofaneuploidies on a benchtopsequencing platform[J]. Prenatal diagnosis,2013, 33(3): 232-237.
Dan S, Chen F, Choy K W, et al. Prenatal detection of aneuploidy and imbal-anced chromosomal arrangements by massively parallel sequencing[J]. PloSone,2012,7(2): e27835
赵佳毕川高雅等NGS技术检测自然流产胚胎或绒毛染色体非整倍体及拷贝数变异的研究IJ1.中国优生与遗传杂志2015(2)12-15季钢，何国平，毕川等大规模平行测序在自然流产绒毛组织染色体核型分析中的临床应用[J].中国优生与遗传杂志,2014(12):28-30·Zirui Dong,Weiwei Xie,Haixiao Chen,Jinjin Xu,Huilin Wang,Yun Li,JunWang,Fang Chen,Kwong Wai Choy,Hui Jiang Copy-Number Variants Detec-tion by Low-Pass Whole-Genome Sequencing. Current Protocols HumanGenetics.2017
Dong Z, Yan J, Xu F, etal. Genome Sequencing Explores Complexity ofChromosomal Abnormalities in Recurrent Miscarriage. Am J Hum Genet.2019 Dec 5;105(6):1102-1111.",,公开
9,华大基因CNVseq的TAT交付时间一般在多久？,CNVseq,,,产品TAT,TAT；检测时间,CNV-seq（康孕®-染色体检测-1M）和CNV-seq（康孕®-染色体检测-1M）交付周期7个自然日。CNV-seq Plus(康孕®-染色体检测-100K升级版)交付周期10个自然日。,,公开
10,什么是母源污染？,CNVseq,,,产品技术,母源污染；MCC,母源污染主要是针对于产前样本，如羊水、绒毛、胎儿组织等取样过程中混入了母亲细胞，导致胎儿样本中存在母源细胞污染 （maternal cell contamination ，MCC ）的现象。,,公开
